,Address,Day,Details,Amount,Balance
414,37 3rd Street Rent,35,Rent,-9.478683,2431.456
415,Katalytica Revenue,34,Revenue,904.0,3335.456
416,48 1st Street Rent,35,Rent,-12.32229,3323.134
417,42 3rd Street Rent,35,Rent,-38.02306,3285.111
418,59 3rd Street Rent,35,Rent,-75.99196,3209.119
419,41 3rd Street Rent,35,Rent,-13.54097,3195.578
420,Karbucks Revenue,34,Revenue,1040.72,4236.298
421,7 3rd Avenue Rent,35,Rent,-42.2027,4194.095
422,Katara Jewels Revenue,34,Revenue,1320.0,5514.095
423,Jensen Capital Loan Payment,35,LoanPayment,-100.0,5414.095
424,Jensen Capital Loan Payment,35,LoanPayment,-75.0,5339.095
425,42 3rd Street Rent,56,Rent,-38.02306,7403.151
426,59 3rd Street Rent,56,Rent,-75.99196,7327.159
427,41 3rd Street Rent,56,Rent,-13.54097,7313.618
428,Karbucks Revenue,55,Revenue,746.6,8060.218
429,7 3rd Avenue Rent,56,Rent,-42.2027,8018.015
430,Katara Jewels Revenue,55,Revenue,1032.0,9050.016
431,Jensen Capital Loan Payment,56,LoanPayment,-100.0,8950.016
432,Jensen Capital Loan Payment,56,LoanPayment,-75.0,8875.016
433,Subway Ride,56,SubwayRide,-3.0,8872.016
434,Subway Ride,56,SubwayRide,-3.0,8869.016
435,Lily Barton (Katalytica Daily Wage),56,Wage,-258.0,8611.016
436,Zoe Gomez (Karbucks Daily Wage),56,Wage,-160.0,8451.016
437,Tommy Brooks (Karbucks Daily Wage),56,Wage,-44.0,8407.016
438,Katherine Moss (Karbucks Daily Wage),56,Wage,-150.0,8257.016
439,Nathaniel Hill (Katara Jewels Daily Wage),56,Wage,-27.0,8230.016
440,Brian Barker (Katalytica Daily Wage),56,Wage,-804.0,7426.016
441,37 3rd Street Rent,57,Rent,-9.478683,7416.537
442,Katalytica Revenue,56,Revenue,920.0,8336.537
443,48 1st Street Rent,57,Rent,-12.32229,8324.215
444,42 3rd Street Rent,57,Rent,-38.02306,8286.191
445,59 3rd Street Rent,57,Rent,-75.99196,8210.199
446,41 3rd Street Rent,57,Rent,-13.54097,8196.658
447,Karbucks Revenue,56,Revenue,789.2,8985.858
448,7 3rd Avenue Rent,57,Rent,-42.2027,8943.655
449,Katara Jewels Revenue,56,Revenue,1032.0,9975.655
450,Jensen Capital Loan Payment,57,LoanPayment,-100.0,9875.655
451,Jensen Capital Loan Payment,57,LoanPayment,-75.0,9800.655
452,Subway Ride,57,SubwayRide,-3.0,9797.655
453,Subway Ride,57,SubwayRide,-3.0,9794.655
454,Replacement for Evie Jones (Katalytica Wage),57,ReplacementWage,-980.0,8814.655
455,Zoe Gomez (Karbucks Daily Wage),57,Wage,-288.0,8526.655
456,Tommy Brooks (Karbucks Daily Wage),57,Wage,-44.0,8482.655
457,Christian Hall (KaraKata Holdings Daily Wage),57,Wage,-184.0,8298.655
458,Merit Johnson (KaraKata Holdings Daily Wage),57,Wage,-224.0,8074.655
459,Nathaniel Hill (Katara Jewels Daily Wage),57,Wage,-216.0,7858.655
460,37 3rd Street Rent,58,Rent,-9.478683,7849.177
461,Katalytica Revenue,57,Revenue,920.0,8769.177
462,48 1st Street Rent,58,Rent,-12.32229,8756.854
463,42 3rd Street Rent,58,Rent,-38.02306,8718.831
464,59 3rd Street Rent,58,Rent,-75.99196,8642.839
465,41 3rd Street Rent,58,Rent,-13.54097,8629.298
466,Karbucks Revenue,57,Revenue,804.6,9433.897
467,7 3rd Avenue Rent,58,Rent,-42.2027,9391.694
468,Katara Jewels Revenue,57,Revenue,516.0,9907.694
469,Jensen Capital Loan Payment,58,LoanPayment,-100.0,9807.694
470,Jensen Capital Loan Payment,58,LoanPayment,-75.0,9732.694
471,Salary from El Gato Food Market,58,PlayerJobSalary,25.0,9757.694
472,Salary from El Gato Food Market,58,PlayerJobSalary,25.0,9782.694
473,Salary from El Gato Food Market,58,PlayerJobSalary,25.0,9807.694
474,Salary from El Gato Food Market,58,PlayerJobSalary,25.0,9832.694
475,Salary from El Gato Food Market,58,PlayerJobSalary,25.0,9857.694
476,Salary from El Gato Food Market,58,PlayerJobSalary,25.0,9882.694
477,Salary from El Gato Food Market,58,PlayerJobSalary,25.0,9907.694
478,Salary from El Gato Food Market,58,PlayerJobSalary,25.0,9932.694
479,Purchase from El Gato Food Market,58,ItemPurchase,-8.0,9924.694
480,Subway Ride,58,SubwayRide,-3.0,9921.694
481,Subway Ride,58,SubwayRide,-3.0,9918.694
482,Evie Jones (Katalytica Daily Wage),58,Wage,-560.0,9358.694
483,Zoe Gomez (Karbucks Daily Wage),58,Wage,-256.0,9102.694
484,Tommy Brooks (Karbucks Daily Wage),58,Wage,-44.0,9058.694
485,Christian Hall (KaraKata Holdings Daily Wage),58,Wage,-184.0,8874.694
486,Merit Johnson (KaraKata Holdings Daily Wage),58,Wage,-224.0,8650.694
487,Nathaniel Hill (Katara Jewels Daily Wage),58,Wage,-216.0,8434.694
488,37 3rd Street Rent,59,Rent,-9.478683,8425.216
489,Katalytica Revenue,58,Revenue,920.0,9345.216
490,48 1st Street Rent,59,Rent,-12.32229,9332.894
491,42 3rd Street Rent,59,Rent,-38.02306,9294.87
492,59 3rd Street Rent,59,Rent,-75.99196,9218.878
493,41 3rd Street Rent,59,Rent,-13.54097,9205.337
494,Karbucks Revenue,58,Revenue,711.2,9916.537
495,7 3rd Avenue Rent,59,Rent,-42.2027,9874.334
496,Katara Jewels Revenue,58,Revenue,344.0,10218.33
497,Jensen Capital Loan Payment,59,LoanPayment,-100.0,10118.33
498,Jensen Capital Loan Payment,59,LoanPayment,-75.0,10043.33
499,Salary from El Gato Food Market,59,PlayerJobSalary,25.0,10068.33
500,Salary from El Gato Food Market,59,PlayerJobSalary,25.0,10093.33
501,Salary from El Gato Food Market,59,PlayerJobSalary,25.0,10118.33
502,Salary from El Gato Food Market,59,PlayerJobSalary,25.0,10143.33
503,Salary from El Gato Food Market,59,PlayerJobSalary,25.0,10168.33
504,Salary from El Gato Food Market,59,PlayerJobSalary,25.0,10193.33
505,Salary from El Gato Food Market,59,PlayerJobSalary,25.0,10218.33
506,Salary from El Gato Food Market,59,PlayerJobSalary,25.0,10243.33
507,Purchase from El Gato Food Market,59,ItemPurchase,-8.0,10235.33
508,Marketing campaigns for Katara Jewels,59,Marketing,-100.0,10135.33
509,Subway Ride,59,SubwayRide,-3.0,10132.33
510,Subway Ride,59,SubwayRide,-3.0,10129.33
511,Evie Jones (Katalytica Daily Wage),59,Wage,-560.0,9569.334
512,Tommy Brooks (Karbucks Daily Wage),59,Wage,-44.0,9525.334
513,Christian Hall (KaraKata Holdings Daily Wage),59,Wage,-184.0,9341.334
514,Merit Johnson (KaraKata Holdings Daily Wage),59,Wage,-224.0,9117.334
515,Katherine Moss (Karbucks Daily Wage),59,Wage,-200.0,8917.334
516,Nathaniel Hill (Katara Jewels Daily Wage),59,Wage,-216.0,8701.334
517,37 3rd Street Rent,60,Rent,-9.478683,8691.855
518,Katalytica Revenue,59,Revenue,920.0,9611.855
519,48 1st Street Rent,60,Rent,-12.32229,9599.533
520,42 3rd Street Rent,60,Rent,-38.02306,9561.51
521,59 3rd Street Rent,60,Rent,-75.99196,9485.518
522,41 3rd Street Rent,60,Rent,-13.54097,9471.977
523,Karbucks Revenue,59,Revenue,661.2,10133.18
524,7 3rd Avenue Rent,60,Rent,-42.2027,10090.97
525,Katara Jewels Revenue,59,Revenue,344.0,10434.97
526,Jensen Capital Loan Payment,60,LoanPayment,-100.0,10334.97
527,Jensen Capital Loan Payment,60,LoanPayment,-75.0,10259.97
528,Marketing campaigns for Katara Jewels,60,Marketing,-100.0,10159.97
529,Salary from El Gato Food Market,60,PlayerJobSalary,25.0,10184.97
530,Salary from El Gato Food Market,60,PlayerJobSalary,25.0,10209.97
531,Salary from El Gato Food Market,60,PlayerJobSalary,25.0,10234.97
532,Salary from El Gato Food Market,60,PlayerJobSalary,25.0,10259.97
533,Salary from El Gato Food Market,60,PlayerJobSalary,25.0,10284.97
534,Salary from El Gato Food Market,60,PlayerJobSalary,25.0,10309.97
535,Salary from El Gato Food Market,60,PlayerJobSalary,25.0,10334.97
536,Salary from El Gato Food Market,60,PlayerJobSalary,25.0,10359.97
537,Purchase from El Gato Food Market,60,ItemPurchase,-16.0,10343.97
538,Evie Jones (Katalytica Daily Wage),60,Wage,-280.0,10063.97
539,Lily Barton (Katalytica Daily Wage),60,Wage,-215.0,9848.974
540,Tommy Brooks (Karbucks Daily Wage),60,Wage,-44.0,9804.974
541,Christian Hall (KaraKata Holdings Daily Wage),60,Wage,-184.0,9620.974
542,Merit Johnson (KaraKata Holdings Daily Wage),60,Wage,-224.0,9396.974
543,Katherine Moss (Karbucks Daily Wage),60,Wage,-200.0,9196.974
544,Nathaniel Hill (Katara Jewels Daily Wage),60,Wage,-216.0,8980.974
545,37 3rd Street Rent,61,Rent,-9.478683,8971.495
546,Katalytica Revenue,60,Revenue,920.0,9891.495
547,48 1st Street Rent,61,Rent,-12.32229,9879.173
548,42 3rd Street Rent,61,Rent,-38.02306,9841.149
549,59 3rd Street Rent,61,Rent,-75.99196,9765.157
550,41 3rd Street Rent,61,Rent,-13.54097,9751.616
551,Karbucks Revenue,60,Revenue,659.0,10410.62
552,7 3rd Avenue Rent,61,Rent,-42.2027,10368.41
553,Katara Jewels Revenue,60,Revenue,516.0,10884.41
554,Jensen Capital Loan Payment,61,LoanPayment,-100.0,10784.41
555,Jensen Capital Loan Payment,61,LoanPayment,-75.0,10709.41
556,Marketing campaigns for Katara Jewels,61,Marketing,-100.0,10609.41
557,Subway Ride,61,SubwayRide,-3.0,10606.41
558,Subway Ride,61,SubwayRide,-3.0,10603.41
559,Lily Barton (Katalytica Daily Wage),61,Wage,-430.0,10173.41
560,Zoe Gomez (Karbucks Daily Wage),61,Wage,-256.0,9917.413
561,Tommy Brooks (Karbucks Daily Wage),61,Wage,-44.0,9873.413
562,Christian Hall (KaraKata Holdings Daily Wage),61,Wage,-184.0,9689.413
563,Merit Johnson (KaraKata Holdings Daily Wage),61,Wage,-224.0,9465.413
564,37 3rd Street Rent,62,Rent,-9.478683,9455.935
565,Katalytica Revenue,61,Revenue,920.0,10375.93
566,48 1st Street Rent,62,Rent,-12.32229,10363.61
567,42 3rd Street Rent,62,Rent,-38.02306,10325.59
568,59 3rd Street Rent,62,Rent,-75.99196,10249.6
569,41 3rd Street Rent,62,Rent,-13.54097,10236.06
570,Karbucks Revenue,61,Revenue,488.8,10724.86
571,7 3rd Avenue Rent,62,Rent,-42.2027,10682.65
572,Katara Jewels Revenue,61,Revenue,1032.0,11714.65
573,Jensen Capital Loan Payment,62,LoanPayment,-100.0,11614.65
574,Jensen Capital Loan Payment,62,LoanPayment,-75.0,11539.65
575,Marketing campaigns for Katara Jewels,62,Marketing,-100.0,11439.65
576,Salary from El Gato Food Market,62,PlayerJobSalary,25.0,11464.65
577,Salary from El Gato Food Market,62,PlayerJobSalary,25.0,11489.65
578,Salary from El Gato Food Market,62,PlayerJobSalary,25.0,11514.65
579,Salary from El Gato Food Market,62,PlayerJobSalary,25.0,11539.65
580,Salary from El Gato Food Market,62,PlayerJobSalary,25.0,11564.65
581,Salary from El Gato Food Market,62,PlayerJobSalary,25.0,11589.65
582,Salary from El Gato Food Market,62,PlayerJobSalary,25.0,11614.65
583,Salary from El Gato Food Market,62,PlayerJobSalary,25.0,11639.65
584,Subway Ride,62,SubwayRide,-3.0,11636.65
585,Subway Ride,62,SubwayRide,-3.0,11633.65
586,Lily Barton (Katalytica Daily Wage),62,Wage,-430.0,11203.65
587,Tommy Brooks (Karbucks Daily Wage),62,Wage,-44.0,11159.65
588,Katherine Moss (Karbucks Daily Wage),62,Wage,-200.0,10959.65
589,Nathaniel Hill (Katara Jewels Daily Wage),62,Wage,-216.0,10743.65
590,37 3rd Street Rent,63,Rent,-9.478683,10734.17
591,Katalytica Revenue,62,Revenue,920.0,11654.17
592,48 1st Street Rent,63,Rent,-12.32229,11641.85
593,42 3rd Street Rent,63,Rent,-38.02306,11603.83
594,59 3rd Street Rent,63,Rent,-75.99196,11527.84
595,41 3rd Street Rent,63,Rent,-13.54097,11514.29
596,Karbucks Revenue,62,Revenue,635.0,12149.29
597,7 3rd Avenue Rent,63,Rent,-42.2027,12107.09
598,Katara Jewels Revenue,62,Revenue,860.0,12967.09
599,Delivery from United Ocean Import ,63,ImportDelivery,-4019.159,8947.933
600,Jensen Capital Loan Payment,63,LoanPayment,-100.0,8847.933
601,Jensen Capital Loan Payment,63,LoanPayment,-75.0,8772.933
602,Marketing campaigns for Katara Jewels,63,Marketing,-100.0,8672.933
603,Salary from El Gato Food Market,63,PlayerJobSalary,25.0,8697.933
604,Salary from El Gato Food Market,63,PlayerJobSalary,25.0,8722.933
605,Salary from El Gato Food Market,63,PlayerJobSalary,25.0,8747.933
606,Salary from El Gato Food Market,63,PlayerJobSalary,25.0,8772.933
607,Salary from El Gato Food Market,63,PlayerJobSalary,25.0,8797.933
608,Salary from El Gato Food Market,63,PlayerJobSalary,25.0,8822.933
609,Salary from El Gato Food Market,63,PlayerJobSalary,25.0,8847.933
610,Salary from El Gato Food Market,63,PlayerJobSalary,25.0,8872.933
611,Subway Ride,63,SubwayRide,-3.0,8869.933
612,Subway Ride,63,SubwayRide,-3.0,8866.933
613,Evie Jones (Katalytica Daily Wage),63,Wage,-280.0,8586.933
614,Lily Barton (Katalytica Daily Wage),63,Wage,-215.0,8371.933
615,Zoe Gomez (Karbucks Daily Wage),63,Wage,-160.0,8211.933
616,Tommy Brooks (Karbucks Daily Wage),63,Wage,-44.0,8167.933
617,Katherine Moss (Karbucks Daily Wage),63,Wage,-150.0,8017.933
618,Nathaniel Hill (Katara Jewels Daily Wage),63,Wage,-216.0,7801.933
619,37 3rd Street Rent,64,Rent,-9.478683,7792.454
620,Katalytica Revenue,63,Revenue,920.0,8712.454
621,48 1st Street Rent,64,Rent,-12.32229,8700.132
622,42 3rd Street Rent,64,Rent,-38.02306,8662.108
623,59 3rd Street Rent,64,Rent,-75.99196,8586.116
624,41 3rd Street Rent,64,Rent,-13.54097,8572.575
625,Karbucks Revenue,63,Revenue,959.7,9532.275
626,7 3rd Avenue Rent,64,Rent,-42.2027,9490.072
627,Katara Jewels Revenue,63,Revenue,1032.0,10522.07
628,Jensen Capital Loan Payment,64,LoanPayment,-100.0,10422.07
629,Jensen Capital Loan Payment,64,LoanPayment,-75.0,10347.07
630,Marketing campaigns for Katara Jewels,64,Marketing,-100.0,10247.07
631,Salary from El Gato Food Market,64,PlayerJobSalary,25.0,10272.07
632,Salary from El Gato Food Market,64,PlayerJobSalary,25.0,10297.07
633,Salary from El Gato Food Market,64,PlayerJobSalary,25.0,10322.07
634,Salary from El Gato Food Market,64,PlayerJobSalary,25.0,10347.07
635,Salary from El Gato Food Market,64,PlayerJobSalary,25.0,10372.07
636,Salary from El Gato Food Market,64,PlayerJobSalary,25.0,10397.07
637,Salary from El Gato Food Market,64,PlayerJobSalary,25.0,10422.07
638,Salary from El Gato Food Market,64,PlayerJobSalary,25.0,10447.07
639,Subway Ride,64,SubwayRide,-3.0,10444.07
640,Subway Ride,64,SubwayRide,-3.0,10441.07
641,Evie Jones (Katalytica Daily Wage),64,Wage,-560.0,9881.072
642,Zoe Gomez (Karbucks Daily Wage),64,Wage,-288.0,9593.072
643,Tommy Brooks (Karbucks Daily Wage),64,Wage,-44.0,9549.072
644,Christian Hall (KaraKata Holdings Daily Wage),64,Wage,-184.0,9365.072
645,Merit Johnson (KaraKata Holdings Daily Wage),64,Wage,-224.0,9141.072
646,Nathaniel Hill (Katara Jewels Daily Wage),64,Wage,-216.0,8925.072
647,37 3rd Street Rent,65,Rent,-9.478683,8915.594
648,Katalytica Revenue,64,Revenue,920.0,9835.594
649,48 1st Street Rent,65,Rent,-12.32229,9823.271
650,42 3rd Street Rent,65,Rent,-38.02306,9785.248
651,59 3rd Street Rent,65,Rent,-75.99196,9709.256
652,41 3rd Street Rent,65,Rent,-13.54097,9695.715
653,Karbucks Revenue,64,Revenue,735.3,10431.01
654,7 3rd Avenue Rent,65,Rent,-42.2027,10388.81
655,Katara Jewels Revenue,64,Revenue,1032.0,11420.81
656,Jensen Capital Loan Payment,65,LoanPayment,-100.0,11320.81
657,Jensen Capital Loan Payment,65,LoanPayment,-75.0,11245.81
658,Marketing campaigns for Katara Jewels,65,Marketing,-100.0,11145.81
659,Salary from El Gato Food Market,65,PlayerJobSalary,25.0,11170.81
660,Salary from El Gato Food Market,65,PlayerJobSalary,25.0,11195.81
661,Salary from El Gato Food Market,65,PlayerJobSalary,25.0,11220.81
662,Salary from El Gato Food Market,65,PlayerJobSalary,25.0,11245.81
663,Salary from El Gato Food Market,65,PlayerJobSalary,25.0,11270.81
664,Salary from El Gato Food Market,65,PlayerJobSalary,25.0,11295.81
665,Salary from El Gato Food Market,65,PlayerJobSalary,25.0,11320.81
666,Salary from El Gato Food Market,65,PlayerJobSalary,25.0,11345.81
667,Evie Jones (Katalytica Daily Wage),65,Wage,-560.0,10785.81
668,Zoe Gomez (Karbucks Daily Wage),65,Wage,-256.0,10529.81
669,Tommy Brooks (Karbucks Daily Wage),65,Wage,-44.0,10485.81
670,Christian Hall (KaraKata Holdings Daily Wage),65,Wage,-184.0,10301.81
671,Merit Johnson (KaraKata Holdings Daily Wage),65,Wage,-224.0,10077.81
672,Nathaniel Hill (Katara Jewels Daily Wage),65,Wage,-216.0,9861.812
673,37 3rd Street Rent,66,Rent,-9.478683,9852.333
674,Katalytica Revenue,65,Revenue,936.0,10788.33
675,48 1st Street Rent,66,Rent,-12.32229,10776.01
676,42 3rd Street Rent,66,Rent,-38.02306,10737.99
677,59 3rd Street Rent,66,Rent,-75.99196,10662.0
678,41 3rd Street Rent,66,Rent,-13.54097,10648.45
679,Karbucks Revenue,65,Revenue,791.6,11440.05
680,7 3rd Avenue Rent,66,Rent,-42.2027,11397.85
681,Katara Jewels Revenue,65,Revenue,516.0,11913.85
682,Jensen Capital Loan Payment,66,LoanPayment,-100.0,11813.85
683,Jensen Capital Loan Payment,66,LoanPayment,-75.0,11738.85
684,Marketing campaigns for Katara Jewels,66,Marketing,-100.0,11638.85
685,Subway Ride,66,SubwayRide,-3.0,11635.85
686,Subway Ride,66,SubwayRide,-3.0,11632.85
687,Subway Ride,66,SubwayRide,-3.0,11629.85
688,Subway Ride,66,SubwayRide,-3.0,11626.85
689,Salary from El Gato Food Market,66,PlayerJobSalary,25.0,11651.85
690,Salary from El Gato Food Market,66,PlayerJobSalary,25.0,11676.85
691,Salary from El Gato Food Market,66,PlayerJobSalary,25.0,11701.85
692,Salary from El Gato Food Market,66,PlayerJobSalary,25.0,11726.85
693,Salary from El Gato Food Market,66,PlayerJobSalary,25.0,11751.85
694,Salary from El Gato Food Market,66,PlayerJobSalary,25.0,11776.85
695,Purchase from El Gato Food Market,66,ItemPurchase,-80.0,11696.85
696,Evie Jones (Katalytica Daily Wage),66,Wage,-560.0,11136.85
697,Tommy Brooks (Karbucks Daily Wage),66,Wage,-44.0,11092.85
698,Christian Hall (KaraKata Holdings Daily Wage),66,Wage,-184.0,10908.85
699,Merit Johnson (KaraKata Holdings Daily Wage),66,Wage,-224.0,10684.85
700,Katherine Moss (Karbucks Daily Wage),66,Wage,-200.0,10484.85
701,Nathaniel Hill (Katara Jewels Daily Wage),66,Wage,-216.0,10268.85
702,37 3rd Street Rent,67,Rent,-9.478683,10259.37
703,Katalytica Revenue,66,Revenue,936.0,11195.37
704,48 1st Street Rent,67,Rent,-12.32229,11183.05
705,42 3rd Street Rent,67,Rent,-38.02306,11145.03
706,59 3rd Street Rent,67,Rent,-75.99196,11069.03
707,41 3rd Street Rent,67,Rent,-13.54097,11055.49
708,Karbucks Revenue,66,Revenue,814.4,11869.89
709,7 3rd Avenue Rent,67,Rent,-42.2027,11827.69
710,Katara Jewels Revenue,66,Revenue,516.0,12343.69
711,Jensen Capital Loan Payment,67,LoanPayment,-100.0,12243.69
712,Jensen Capital Loan Payment,67,LoanPayment,-75.0,12168.69
713,Marketing campaigns for Katara Jewels,67,Marketing,-100.0,12068.69
714,Salary from El Gato Food Market,67,PlayerJobSalary,25.0,12093.69
715,Salary from El Gato Food Market,67,PlayerJobSalary,25.0,12118.69
716,Salary from El Gato Food Market,67,PlayerJobSalary,25.0,12143.69
717,Salary from El Gato Food Market,67,PlayerJobSalary,25.0,12168.69
718,Salary from El Gato Food Market,67,PlayerJobSalary,25.0,12193.69
719,Salary from El Gato Food Market,67,PlayerJobSalary,25.0,12218.69
720,Salary from El Gato Food Market,67,PlayerJobSalary,25.0,12243.69
721,Salary from El Gato Food Market,67,PlayerJobSalary,25.0,12268.69
722,Evie Jones (Katalytica Daily Wage),67,Wage,-280.0,11988.69
723,Lily Barton (Katalytica Daily Wage),67,Wage,-215.0,11773.69
724,Tommy Brooks (Karbucks Daily Wage),67,Wage,-44.0,11729.69
725,Christian Hall (KaraKata Holdings Daily Wage),67,Wage,-184.0,11545.69
726,Merit Johnson (KaraKata Holdings Daily Wage),67,Wage,-224.0,11321.69
727,Katherine Moss (Karbucks Daily Wage),67,Wage,-200.0,11121.69
728,Nathaniel Hill (Katara Jewels Daily Wage),67,Wage,-216.0,10905.69
729,37 3rd Street Rent,68,Rent,-9.478683,10896.21
730,Katalytica Revenue,67,Revenue,936.0,11832.21
731,48 1st Street Rent,68,Rent,-12.32229,11819.89
732,42 3rd Street Rent,68,Rent,-38.02306,11781.87
733,59 3rd Street Rent,68,Rent,-75.99196,11705.87
734,41 3rd Street Rent,68,Rent,-13.54097,11692.33
735,Karbucks Revenue,67,Revenue,780.5,12472.83
736,7 3rd Avenue Rent,68,Rent,-42.2027,12430.63
737,Katara Jewels Revenue,67,Revenue,516.0,12946.63
738,Jensen Capital Loan Payment,68,LoanPayment,-100.0,12846.63
739,Jensen Capital Loan Payment,68,LoanPayment,-75.0,12771.63
740,Marketing campaigns for Katara Jewels,68,Marketing,-100.0,12671.63
741,Subway Ride,68,SubwayRide,-3.0,12668.63
742,Subway Ride,68,SubwayRide,-3.0,12665.63
743,Lily Barton (Katalytica Daily Wage),68,Wage,-430.0,12235.63
744,Zoe Gomez (Karbucks Daily Wage),68,Wage,-256.0,11979.63
745,Tommy Brooks (Karbucks Daily Wage),68,Wage,-44.0,11935.63
746,Christian Hall (KaraKata Holdings Daily Wage),68,Wage,-184.0,11751.63
747,Merit Johnson (KaraKata Holdings Daily Wage),68,Wage,-224.0,11527.63
748,37 3rd Street Rent,69,Rent,-9.478683,11518.15
749,Katalytica Revenue,68,Revenue,936.0,12454.15
750,48 1st Street Rent,69,Rent,-12.32229,12441.83
751,42 3rd Street Rent,69,Rent,-38.02306,12403.81
752,59 3rd Street Rent,69,Rent,-75.99196,12327.81
753,41 3rd Street Rent,69,Rent,-13.54097,12314.27
754,Karbucks Revenue,68,Revenue,969.2,13283.47
755,7 3rd Avenue Rent,69,Rent,-42.2027,13241.27
756,Katara Jewels Revenue,68,Revenue,1032.0,14273.27
757,Jensen Capital Loan Payment,69,LoanPayment,-100.0,14173.27
758,Jensen Capital Loan Payment,69,LoanPayment,-75.0,14098.27
759,Marketing campaigns for Katara Jewels,69,Marketing,-100.0,13998.27
760,Salary from El Gato Food Market,69,PlayerJobSalary,25.0,14023.27
761,Salary from El Gato Food Market,69,PlayerJobSalary,25.0,14048.27
762,Salary from El Gato Food Market,69,PlayerJobSalary,25.0,14073.27
763,Salary from El Gato Food Market,69,PlayerJobSalary,25.0,14098.27
764,Salary from El Gato Food Market,69,PlayerJobSalary,25.0,14123.27
765,Salary from El Gato Food Market,69,PlayerJobSalary,25.0,14148.27
766,Salary from El Gato Food Market,69,PlayerJobSalary,25.0,14173.27
767,Salary from El Gato Food Market,69,PlayerJobSalary,25.0,14198.27
